,epithelial cell,T cell,plasma cell,B cell,mesenchymal cell,endothelial cell,myeloid cell
MGP,0.022989972,0.0051519964,0.006512301,0.0026007802,0.4961649,0.41263434,0.0
GDPGP1,0.5576626,0.51993155,0.09873459,0.5351498,0.17814037,0.10073358,0.14668962
MCL1,0.21126755,0.5629046,0.78184265,0.2613903,0.7509741,0.50747716,0.4645002
RPL17,0.23338433,0.5752654,0.8029568,0.745552,0.35444808,0.38779804,0.34004232
SPCS2,0.04716924,0.04302655,0.63923603,0.115052015,0.07345577,0.10344557,0.02878788
MT-ATP8,0.81423265,0.1979479,0.5569171,0.26155403,0.31419623,0.30616772,0.2939153
MFAP5,0.00866556,0.0005646527,0.001447178,0.0013003901,0.57621974,0.005376344,0.0
RPL10,0.24573979,0.5882946,0.49649954,0.82532996,0.21737063,0.31451783,0.38930333
HYAL2,0.0063676615,0.0005646527,0.004124457,0.0026007802,0.013355592,0.5752977,0.007575758
EHD2,0.0029069763,0.0,0.0,0.0,0.37061745,0.4962851,0.0
UAP1,0.028447904,0.025974033,0.081173465,0.010403121,0.5936567,0.034946237,0.005050505
COL6A2,0.0041528232,0.0028232636,0.002894356,0.0,0.5750182,0.05913979,0.0
CALD1,0.007336658,0.0011293055,0.002170767,0.0,0.5479649,0.2717054,0.01010101
VCAN,0.0038759685,0.0028232636,0.002894356,0.0,0.5604983,0.032258064,0.24747476
RPL19,0.1697806,0.50941116,0.32899767,0.75363475,0.22282891,0.20506905,0.22901337
NAMPT,0.21893153,0.12335903,0.15036951,0.122379094,0.7039882,0.24812599,0.42902923
TBC1D31,0.25265586,0.4047627,0.89653057,0.3712668,0.3739563,0.42741913,0.5883839
LEPR,0.0032676233,0.0056465277,0.006512301,0.0015893658,0.5649575,0.16647069,0.0
NR4A1,0.19791023,0.1465134,0.46658158,0.24086955,0.7059191,0.19087046,0.14647684
C1QC,0.0029761903,0.016181992,0.015629524,0.028485838,0.0,0.0,0.56375986
TNFAIP3,0.026453888,0.62463516,0.26193902,0.06147981,0.09098498,0.070683,0.19696973
KRT20,0.57007194,0.011405984,0.061036237,0.0130039,0.025876464,0.005376344,0.015151516
CISD3,0.15024453,0.0062111793,0.015195372,0.0026007802,0.08180302,0.5761386,0.015151516
UBE2J1,0.049418718,0.042913634,0.6159833,0.13137083,0.071786314,0.08467741,0.05555556
TGM2,0.005398671,0.0042913607,0.0,0.0052015604,0.031719536,0.55913955,0.02020202
IGHV3-33,0.011746505,0.0067813816,0.5574207,0.010650815,0.004069282,0.002688172,0.02588384
COL3A1,0.010105201,0.0005646527,0.0021983734,0.0,0.5492486,0.010752688,0.0
SHLD2,0.8433339,0.45021716,0.3459322,0.41816148,0.7552079,0.71774143,0.8005051
RPS5,0.24723096,0.5326211,0.604415,0.78923166,0.290448,0.27012384,0.34527
TRIB1,0.09933836,0.01326934,0.5666867,0.024707416,0.35225368,0.11021503,0.070707075
UBC,0.47872308,0.6820614,1.0455536,0.6279721,0.8307955,0.5281862,0.5050506
FTH1,0.49119872,0.23668763,0.37597018,0.31699723,0.7763531,0.2749343,0.6583764
ASCC1,0.19831796,0.6108272,0.29019833,0.66708505,0.27053025,0.22580634,0.17171718
TACC1,0.038665656,0.07340485,0.046888575,0.09752922,0.42982063,0.5295696,0.09595959
RPL28,0.28888065,0.6949461,0.4111961,0.84193754,0.347569,0.38053185,0.5383956
CLDN3,0.5614114,0.022162624,0.111318916,0.01040312,0.028380638,0.018817203,0.01010101
IGHJ4,0.011735395,0.010163748,0.5457581,0.013654096,0.007532157,0.002688172,0.017676769
CREB3L2,0.014615424,0.02540938,0.5673831,0.03120936,0.09015027,0.038978495,0.035353534
PLPP3,0.008162307,0.002258611,0.0039797397,0.0039011703,0.5436657,0.09811825,0.0041485853
TAF10,0.37927043,0.16474728,0.117499694,0.15690221,0.5513909,0.5541471,0.5311449
MT1X,0.05828156,0.009429699,0.009044863,0.0032509752,0.54361224,0.22553004,0.03047138
IGKV1D-13,0.005090938,0.0065375585,0.5344722,0.011682412,0.029290821,0.0049647177,0.006943758
IL7R,0.006644519,0.55790323,0.03388809,0.13840897,0.010016694,0.024193546,0.1212121
COL6A1,0.0033222584,0.002258611,0.0037443205,0.0,0.5263106,0.044476774,0.0
IGHV1-46,0.014394419,0.013251658,0.5252575,0.0097529255,0.0036171395,0.0,0.0033670035
CD36,0.004568106,0.0005646527,0.002894356,0.0026007802,0.0036515996,0.51612896,0.1868687
DNAJC17,0.6598009,0.26143357,0.063676015,0.30028597,0.12270454,0.27688158,0.1717172
RGS11,0.5144334,0.0,0.002170767,0.0,0.006677796,0.0,0.0
CLCA4,0.5185672,0.007905137,0.006512615,0.0013003901,0.01569282,0.0,0.005050505
CTSK,0.007082323,0.007340485,0.009044863,0.0044213263,0.5179711,0.008064516,0.005050505
SMIM15-AS1,0.72424376,0.15810238,0.24405582,0.17567086,0.36227024,0.30107507,0.25252527
NR4A2,0.048209827,0.55836713,0.16919829,0.35197255,0.058430716,0.043010756,0.15151513
IGHV1-2,0.021364875,0.014107094,0.5212268,0.025095692,0.0056653563,0.0017281106,0.011574074
HSP90AA1,0.24064621,0.5956101,0.64553696,0.6453837,0.27932987,0.22369468,0.446968
PLXDC2,0.02556615,0.0028232636,0.001447178,0.0052015604,0.5330411,0.12634405,0.09595959
HLA-E,0.06370502,0.38303047,0.17131127,0.46425542,0.25854814,0.64079195,0.28429228
ABHD14A,0.7507136,0.59407735,0.3050509,0.8017439,0.49315995,0.38709652,0.3838385
RACK1,0.21174519,0.5345473,0.3184256,0.7543642,0.32519913,0.25281355,0.30873072
IGLV1-47,0.018054435,0.015818331,0.5380397,0.041414287,0.031485226,0.055555556,0.034547184
TAGLN2,0.2211338,0.45384246,0.5588858,0.48042122,0.797064,0.7328373,0.60225093
ENTPD1-AS1,0.008233888,0.15815905,0.123274624,0.10665867,0.021722151,0.4320072,0.48495954
RPLP1,0.2213608,0.5203588,0.45479605,0.6694383,0.22988461,0.13532516,0.32376286
PI16,0.003543742,0.0016939582,0.002894356,0.0032509752,0.50667757,0.008064516,0.0
ARID5B,0.051462945,0.24754404,0.3277583,0.3290606,0.61732733,0.26814228,0.06972289
ABCB9,1.3151968,0.9605863,1.1905265,1.1372838,1.1213567,1.3322595,1.549917
FAS,0.063200496,0.15703084,0.028109,0.04593802,0.5453623,0.037024636,0.04040404
MZB1,0.027653784,0.015019759,0.518335,0.03207629,0.0116861425,0.029569888,0.015151516
CHRDL1,0.0026930526,0.0005646527,0.000723589,0.0,0.4941565,0.16397847,0.0
COTL1,0.022592772,0.14908682,0.022431262,0.20568947,0.021702839,0.04301075,0.5303031
MYL9,0.01418507,0.0028232636,0.008683069,0.0065019503,0.5048019,0.026881719,0.025252525
CD55,0.10050949,0.17248829,0.11976256,0.19226544,0.63281304,0.1333333,0.18298627
CEPT1,0.26764727,0.2550318,0.1515916,0.64768314,0.12854764,0.13978492,0.3838386
A2M,0.008167221,0.0062111802,0.002170767,0.0052015604,0.31218684,0.45833305,0.1060606
IGHV3-21,0.01070362,0.0027298997,0.49271104,0.010357885,0.0017737896,0.0033400145,0.003815937
TXNIP,0.06863055,0.44854346,0.20115755,0.6292428,0.32072794,0.22336605,0.24444446
OR7C1,0.35485202,0.21914336,0.4030319,0.2464487,0.3424435,0.26075253,0.7584706
CDKN1A,0.08101827,0.048277836,0.19216819,0.026007803,0.53842,0.2725903,0.060606066
EMP1,0.051739555,0.0039525693,0.0079594795,0.0019505852,0.2763016,0.47632125,0.045454547
IGHV1-3,0.007923985,0.015767496,0.49104986,0.011053315,0.0062186974,0.0,0.0
ERRFI1,0.08017844,0.013551663,0.010130246,0.0065019503,0.5075122,0.08986176,0.0
MXD3,0.54904026,0.02091734,0.073318936,0.054373927,0.064674504,0.14194979,0.10858584
IGHV1-18,0.01864255,0.016211301,0.49546596,0.031034146,0.009505088,0.005376344,0.003998317
LCP1,0.0049833874,0.33370984,0.03147613,0.2372288,0.0116861425,0.005376344,0.4368119
LGALS4,0.5131492,0.042405445,0.2018849,0.0156046795,0.051872157,0.026881717,0.035353538
UQCC2,0.5189044,0.021080371,0.051685255,0.028608589,0.060934883,0.14247309,0.01010101
PLVAP,0.0013842747,0.0016939582,0.004341534,0.0,0.001669449,0.4811894,0.0
STK17B,0.039735243,0.48809004,0.16587014,0.3000327,0.01836394,0.005376344,0.27777788
KLF4,0.29947764,0.014693095,0.057542317,0.0130039,0.5041732,0.24193542,0.14646465
HNRNPU,1.0533025,0.8642513,0.45767215,0.85304415,0.8437188,0.83338505,0.7766243
CLIC4,0.01577676,0.0028346728,0.2701757,0.06877721,0.37556204,0.41666645,0.05126146
PCSK7,0.10259782,0.044695344,0.028219977,0.07479121,0.5328482,0.089247294,0.07077348
ZEB2,0.004519586,0.14229229,0.0050651226,0.11469904,0.2704509,0.043010753,0.4949497
OGT,0.08795326,0.40485743,0.5769654,0.30473596,0.1636061,0.15322576,0.14646465
ATG9B,0.002633355,0.014116314,0.002170767,0.0130039,0.003338898,0.47177392,0.0
TMPO-AS1,0.3443102,0.4709613,0.13106416,0.5958184,0.16193666,0.40322557,0.52020204
ANPEP,0.48995554,0.013551663,0.04848368,0.0052015604,0.035893157,0.010752688,0.055555556
FCMR,0.0023532668,0.27033624,0.028219977,0.44778606,0.008347245,0.005376344,0.035353534
RPL15,0.25705716,0.55179465,0.7688547,0.7213048,0.45134875,0.43534434,0.49970156
CD34,0.003401417,0.0016939582,0.0,0.0028087634,0.42449957,0.2768816,0.005050505
COL1A1,0.0066461605,0.0011293055,0.002170767,0.0013003901,0.46667406,0.005376344,0.005050505
IGLV8-61,0.005260244,0.007905137,0.46755034,0.0039011703,0.001669449,0.008064516,0.015151516
TAP1,0.04523727,0.43945023,0.15583661,0.43004656,0.0651085,0.15492499,0.38787887
SOCS3,0.014147142,0.047713183,0.054992773,0.028827328,0.5035877,0.16129029,0.066187866
IGHV2-5,0.0053755995,0.006399397,0.46587554,0.022106634,0.010016694,0.002688172,0.005050505
ADAMTS5,0.0045681065,0.0011293055,0.001447178,0.0013003901,0.46312398,0.034946237,0.005050505
BCL9L,0.00775194,0.0660644,0.0050651226,0.47434497,0.021702839,0.01344086,0.015151516
TFF3,0.47225818,0.010163747,0.037675995,0.0,0.021702837,0.15780699,0.01010101
SFRP2,0.016334496,0.0005646527,0.003617945,0.0052015604,0.46054476,0.002688172,0.007575758
IGKV3D-15,0.01860623,0.020647606,0.474369,0.028450022,0.016826697,0.015382365,0.02938913
TUBB,0.11789285,0.4154478,0.14280866,0.53171355,0.46353984,0.41660243,0.5127507
BMPR2,0.034007467,0.045793828,0.043470494,0.07153712,0.20868132,0.49486294,0.040478315
RPS4X,0.14746803,0.41679084,0.28488216,0.537362,0.111018404,0.10480257,0.14141414
JUNB,0.13085231,0.34226164,0.3607565,0.25305837,0.59686387,0.18564089,0.111111104
HSPH1,0.13305709,0.48041558,0.33565107,0.50857246,0.12087547,0.11290321,0.2626263
GLUL,0.067925006,0.031577133,0.040520992,0.015609443,0.47515714,0.1317204,0.26010105
ITGB2,0.0013842747,0.11167264,0.013748192,0.06762029,0.0,0.008064516,0.4608059
JMJD1C-AS1,0.18203701,0.03049126,0.05282201,0.0676203,0.16193664,0.51075244,0.09595958
GPRC5A,0.1449162,0.0012985695,0.0097684525,0.0026007802,0.45592046,0.12181194,0.01010101
RUSC1-AS1,0.5157814,0.05544894,0.09153389,0.073309496,0.048414018,0.18279563,0.12626262
RPL18,0.22599792,0.53093964,0.38200396,0.65908533,0.32117698,0.2043885,0.3114479
CCL2,0.00013842747,0.0011293055,0.006512301,0.0,0.4441041,0.06190303,0.005050505
IGHV3-11,0.005012545,0.0028931214,0.4387619,0.017108377,0.0037214803,0.00021953406,0.009427609
ZBTB20,0.09321405,0.16215695,0.10808882,0.20423271,0.50347096,0.37922293,0.0714939
FTL,0.23478344,0.2844769,0.46226233,0.40285698,0.44733793,0.18188898,0.6596158
ZFP36L2,0.13051683,0.49988788,0.40174037,0.48112687,0.2804675,0.11827954,0.18686871
ABI2,0.23334415,0.030312574,0.027803497,0.029908974,0.23387778,0.46777177,0.1262626
TMEM120B,0.40901783,0.31888357,0.1477946,0.33011264,0.01836394,0.002688172,0.1060606
COL14A1,0.007336657,0.0,0.000723589,0.0,0.43127158,0.008064516,0.0
PI4KA,0.24222164,0.15634756,0.12754902,0.14664492,0.20784655,0.2172938,0.5960899
ZBTB38,0.083145075,0.1682661,0.5420036,0.09752923,0.17529227,0.16666661,0.085858576
WWTR1,0.060639367,0.01754661,0.0115774255,0.01820546,0.06677796,0.4537011,0.023232322
REL,0.061892036,0.3106983,0.036546465,0.45974886,0.10803189,0.053330615,0.23741265
STOM,0.011768419,0.045757968,0.0072358903,0.00780234,0.21535908,0.43477058,0.05555556
IGHV3-48,0.0063611423,0.004331125,0.43038508,0.0071180565,0.00038258207,0.002907706,0.01952862
IGLV2-23,0.048130423,0.035192,0.46249127,0.03610426,0.02203673,0.029301075,0.08055556
TUBA1C,0.06714174,0.46777827,0.058958504,0.38355327,0.14115016,0.116671726,0.21726365
ATG7,0.2056124,0.024484854,0.021707674,0.037711322,0.080133565,0.4543008,0.040404044
RIPOR1,0.0062292363,0.04093734,0.15774207,0.18628128,0.13587807,0.49193525,0.10606062
IGKV2D-30,0.014549318,0.013116365,0.4408385,0.06357174,0.011160876,0.013082437,0.023989901
CAVIN1,0.008437027,0.0011293055,0.002894356,0.0026007802,0.3369411,0.31989878,0.0
EIF1,0.28981152,0.6911816,0.49437404,0.7048511,0.5410118,0.50645626,0.33509395
ENG,0.0024916942,0.012987012,0.001447178,0.01170351,0.12020038,0.43127233,0.04040404
IGHJ5,0.007267442,0.007905137,0.42075926,0.014954486,0.0008347245,0.0,0.007575758
CXCL16,0.028341472,0.008469789,0.0072358903,0.01170351,0.01669449,0.021505374,0.4292931
ARHGDIB,0.0076398677,0.3446988,0.06531121,0.3652182,0.021702839,0.034946233,0.22222227
BANK1,0.0009992336,0.01693958,0.020260496,0.41698116,0.003338898,0.0,0.005050505
LUM,0.01245846,0.0028232636,0.003617945,0.0019094751,0.414999,0.0061236466,0.01010101
PTPRCAP,0.0032299743,0.24830018,0.07346275,0.39176548,0.005485332,0.002688172,0.02020202
RPS26,0.120617546,0.3332791,0.29600623,0.48465103,0.057714757,0.13290603,0.13116856
PLTP,0.40283117,0.009034442,0.031114334,0.02535761,0.23380156,0.075268805,0.2676768
TM4SF1,0.016196001,0.0011293055,0.0,0.0039011703,0.031719536,0.4101083,0.0
SRRM5,0.37592632,0.37972948,0.26374796,0.27698326,0.643572,0.6129028,0.44444463
IL18BP,0.40753597,0.05533601,0.05209842,0.05071523,0.13772963,0.35755643,0.13131313
ADPGK-AS1,0.09106874,0.21287347,0.17896727,0.31209394,0.16861448,0.13709675,0.53535354
NHSL1,0.41578525,0.004517222,0.016642548,0.0039011703,0.18363951,0.16397844,0.06565657
ZNF740,0.022563685,0.13411029,0.28075206,0.0871261,0.03505843,0.059139792,0.4222223
RPS6,0.23336108,0.43390834,0.42626807,0.58373135,0.20044586,0.2311827,0.2177316
MEDAG,0.0012458472,0.0016939582,0.001447178,0.0,0.40066728,0.05107527,0.005050505
IGLV2-11,0.033567876,0.013419915,0.40939867,0.021783032,0.009075719,0.005376344,0.032996632
RAMP2-AS1,0.0001406881,0.0,0.04196817,0.0026007802,0.39369714,0.15949813,0.005050505
MASTL,0.48601273,0.39076898,0.15629505,0.3250978,0.12938237,0.118279554,0.16161619
ACSBG1,0.42858896,0.013613339,0.030390745,0.027308196,0.046840772,0.09946234,0.09090909
GNG11,0.0011074197,0.0011293055,0.0,0.0,0.07976948,0.3925141,0.0
AGBL5,0.44013348,0.56963587,0.700539,0.586057,0.29202878,0.35504252,0.391466
PLA2G6,0.10038961,0.06662904,0.020260494,0.01560468,0.4134338,0.18279564,0.005050505
SLC19A1,0.0036821694,0.00846979,0.018813316,0.0039011703,0.1821261,0.3833424,0.015151516
DSP,0.33777615,0.0039525693,0.049927644,0.0026007802,0.010016695,0.27419347,0.0
TNFRSF13C,0.0071655414,0.02795032,0.041403167,0.39606836,0.0,0.0,0.015151516
DUSP1,0.14535132,0.28233695,0.3578889,0.33618507,0.5905017,0.2284945,0.21328467
HBA2,0.09934968,0.3370357,0.18185025,0.40239823,0.071060635,0.019086022,0.097091414
LCP2,0.0011074197,0.32310697,0.010853835,0.052015614,0.003338898,0.008064516,0.29292938
MACF1,0.13921615,0.35770044,0.12736778,0.27607456,0.32466856,0.54733443,0.23132634
GADD45GIP1,0.5091717,0.10564238,0.14688827,0.14954478,0.23372309,0.37365565,0.25252533
CORO1B,0.025309186,0.27037954,0.113262676,0.37342286,0.012997853,0.018817205,0.04040404
TPSB2,0.0007777491,0.0016939582,0.004187332,0.0040312093,0.0,0.0,0.3801101
CREG1,0.04127772,0.03274987,0.036179457,0.027308194,0.40902176,0.10752687,0.21717173
MATN2,0.045037027,0.0028232636,0.0050651226,0.0013003901,0.39565915,0.08089841,0.02020202
VAT1,0.019241419,0.02913609,0.01736614,0.03511054,0.40334296,0.15322576,0.035353534
HSPB6,0.002768549,0.0,0.001447178,0.0,0.3764462,0.0,0.0
SPARC,0.008582503,0.0011293055,0.004341534,0.0039011703,0.38141674,0.12903224,0.01010101
IGKV1-27,0.007796714,0.0022788518,0.38386014,0.010790724,0.0038976837,0.005502352,0.029209815
BTG2,0.08757625,0.14035541,0.4685694,0.16254881,0.2479251,0.08602148,0.065656565
PDIA4,0.051773187,0.040407117,0.43933886,0.07802342,0.10684477,0.059139792,0.08080809
CD37,0.013252038,0.16343352,0.042402323,0.41347307,0.023205344,0.05110733,0.10104443
IGHV1-69D,0.008249616,0.0061421664,0.37920937,0.013220632,0.0038258207,0.003360215,0.0008417509
TPSD1,0.00059985236,0.0,0.0,0.0,0.0,0.0,0.37271765
KRT19,0.3977896,0.026538687,0.08612149,0.013003901,0.039232053,0.016129032,0.010198026
OLFML3,0.002768549,0.002258611,0.001447178,0.0013003901,0.3749578,0.008064516,0.01010101
RASD1,0.020902555,0.011293054,0.030390743,0.01040312,0.39225146,0.034946237,0.03030303
TRPC3,0.09956189,0.058927745,0.4537639,0.08297664,0.12694202,0.20282044,0.27329987
ZNF503-AS2,0.043327868,0.007340485,0.002894356,0.0026007802,0.38063425,0.08064516,0.18181819
ADAMTS9,0.002076412,0.0011293055,0.000723589,0.0,0.02003339,0.37189102,0.0
GUCA2B,0.3775348,0.0142388735,0.020622289,0.0,0.03672788,0.0,0.0
IGHV5-10-1,0.011390448,0.0031055901,0.37667894,0.008452535,0.0008347245,0.004032258,0.03787879
CYP1B1,0.0037375404,0.0011293055,0.0,0.0026007802,0.10694595,0.37675607,0.03030303
HLA-DQA1,0.001984127,0.029615201,0.029088283,0.20201896,0.008347245,0.021774193,0.36495924
LINC00847,0.15010385,0.17869672,0.24847622,0.2634592,0.14190327,0.19354829,0.54040414
FYB1,0.007757989,0.3742265,0.019536905,0.068469234,0.009181969,0.01344086,0.18507187
PTPRB,0.010038686,0.0011293055,0.008683069,0.0013003901,0.0,0.36827937,0.01010101
LSP1,0.007995055,0.27410692,0.23213607,0.31672186,0.19296262,0.016129032,0.34871393
CBLB,0.020077486,0.30382174,0.01736614,0.054616403,0.34056735,0.060483873,0.08080807
IGHV3-73,0.005748914,0.0026821005,0.3661291,0.008452537,0.010016694,0.0,0.0008417509
CD79A,0.0059523815,0.04526958,0.21598792,0.35230985,0.008347245,0.01344086,0.015151516
NOL4L,0.23566121,0.080597244,0.04124458,0.016939553,0.046744563,0.38237488,0.045454547
PCAT7,0.37023243,0.0033879164,0.009406658,0.00065019506,0.013355591,0.002688172,0.09090909
ADAMTS9-AS1,0.0030454036,0.0,0.0,0.0,0.02003339,0.36290306,0.0
MMP14,0.008582504,0.0005646527,0.002170767,0.0013003901,0.36635566,0.038978495,0.005050505
NFIC,0.03889819,0.022586113,0.018089728,0.014540724,0.3722868,0.20967732,0.07894655
LINC01943,0.0031643321,0.111205935,0.37852725,0.013707715,0.2710271,0.115186535,0.14757366
C1QB,0.0036683271,0.014116315,0.005788712,0.025357611,0.003338898,0.005376344,0.3664207
ZNF771,0.47983843,0.11631832,0.0817655,0.22886875,0.1402338,0.24462353,0.29292935
KRR1,0.008305649,0.14476743,0.05209842,0.0975292,0.115192056,0.010752688,0.40151533
PCOLCE,0.006782947,0.009034443,0.002894356,0.0026007802,0.36267102,0.008064516,0.005050505
IKZF1,0.0022148394,0.3430348,0.11577405,0.24932276,0.006677796,0.0,0.08080808
TYROBP,0.003045404,0.023268895,0.005788712,0.01040312,0.008347245,0.0,0.36366755
IGHV6-1,0.007756827,0.004517222,0.36436898,0.018075423,0.003338898,0.008846508,0.010695187
IGHG4,0.0047111474,0.010661909,0.30164817,0.279607,0.023372289,0.02761511,0.015764793
CILP,0.0015227022,0.0005646527,0.000723589,0.0,0.35559255,0.002688172,0.0
SPTAN1,0.10569641,0.20553309,0.070368655,0.13654092,0.2621036,0.44893506,0.08585859
HLA-A,0.16232431,0.5108151,0.31202307,0.44773775,0.20377868,0.24985155,0.4257577
TM9SF2,0.26982883,0.17306568,0.5157649,0.20286088,0.41236487,0.46102124,0.27777782
NFKBIZ,0.09175159,0.30379283,0.12916046,0.119955234,0.45575917,0.13172041,0.16161618
CCL21,0.0023532668,0.0005646527,0.000723589,0.0013003901,0.00751252,0.35244563,0.0
UXT-AS1,0.32308212,0.4594189,0.3041113,0.5225903,0.23376234,0.14438538,0.24242431
RARA-AS1,0.09461481,0.01298701,0.006512301,0.02470741,0.27879804,0.33333313,0.14646465
MSN,0.005192531,0.30992582,0.11288191,0.26994887,0.08851948,0.36290303,0.25761145
IGF2,0.0018918421,0.0013175231,0.00096478534,0.0,0.23789649,0.2996031,0.0
DLEC1,0.3805772,0.02512705,0.030682413,0.01690507,0.041736223,0.029569888,0.07575758
HLA-C,0.21389584,0.5018486,0.41133952,0.5208064,0.1957197,0.30825266,0.29358453
PINK1-AS,0.34076574,0.010163747,0.0517371,0.0065019503,0.12854764,0.24731171,0.03030303
ZFC3H1,0.063549004,0.14093715,0.32127365,0.083256125,0.3689599,0.034946233,0.21717174
TXNDC5,0.007740071,0.0036702421,0.36015233,0.024227858,0.020868113,0.03134136,0.01010101
CDR1,0.0008305648,0.0,0.024602028,0.0,0.34891462,0.005376344,0.0
SRGN,0.014471215,0.22506641,0.24720052,0.084425114,0.03255426,0.15591392,0.37626272
TJP1,0.06035924,0.0005646527,0.010130247,0.0013003901,0.09182434,0.35752666,0.0
LDB1,0.4487752,0.22640534,0.10270482,0.28626522,0.11338094,0.114576,0.11870883
C1orf54,0.13608743,0.11377742,0.17149018,0.19635892,0.17362283,0.28494605,0.48989925
SERPINE1,0.0026301215,0.0073404843,0.001447178,0.0026007802,0.34642443,0.10752687,0.01010101
NAXE,0.4222779,0.1250879,0.16570148,0.20286089,0.37733775,0.37636515,0.14141414
TUBB6,0.37113014,0.01298701,0.03256151,0.01690507,0.07345576,0.14247306,0.045454547
RPL17-C18orf32,0.18877889,0.47336447,0.506765,0.55467194,0.3143695,0.38160113,0.32891044
APOA1-AS,0.34262317,0.0011293055,0.011577425,0.0,0.003338898,0.002688172,0.013468012
NFKBIA,0.11173509,0.20566414,0.478831,0.13658285,0.31965414,0.3105354,0.19696975
PDGFRB,0.00069213734,0.0,0.0,0.0,0.33722857,0.002688172,0.0
ACTN4,0.36122686,0.24382831,0.1482195,0.16375628,0.22537579,0.5043817,0.19696972
TRNT1,0.21823636,0.103811696,0.08831158,0.10276964,0.14700349,0.44431055,0.11115629
RPS18,0.21403569,0.3466339,0.25746927,0.5448291,0.21693909,0.19254076,0.20247597
EXOC3,0.35455462,0.023657465,0.01591896,0.0156046795,0.01669449,0.005376344,0.04040404
S100A4,0.009136212,0.07754291,0.017589742,0.040312104,0.29499027,0.01344086,0.27777782
LHFPL6,0.0014133322,0.0016939582,0.002170767,0.0013003901,0.34251264,0.1129032,0.035353534
CRIM1,0.10229973,0.020045172,0.03400869,0.017537784,0.07512522,0.3736557,0.045454547
PIK3R1,0.038704466,0.3619997,0.026772799,0.05071523,0.19535318,0.029569888,0.05555556
CD9,0.14517069,0.009897183,0.060223386,0.00910273,0.028590428,0.36038917,0.045454547
DNMT3A,0.56275076,0.2883692,0.2255385,0.35432807,0.18622562,0.2668669,0.23714061
CRYAB,0.004291251,0.0005646527,0.0,0.0,0.335559,0.005376344,0.0
GLG1,0.06485243,0.22521538,0.18707138,0.19259089,0.44413605,0.14546475,0.08080808
PSMG4,0.35112637,0.011809324,0.0115774255,0.0026007802,0.01502504,0.1238416,0.060606062
NMD3,0.6049585,0.3634588,0.2158699,0.45443407,0.2874051,0.3671227,0.32381555
RPS15,0.15843496,0.35056514,0.24338764,0.5365241,0.20728613,0.28088012,0.22765186
HBA1,0.1196016,0.27420238,0.13761324,0.36822706,0.05436614,0.015860213,0.09282671
PABPC4,0.046986487,0.0933237,0.42069474,0.11651488,0.12921543,0.077965155,0.16464648
PAQR9,0.50679576,0.23142572,0.11619745,0.28997585,0.16544609,0.22453414,0.27984008
KRT18,0.36875883,0.023703165,0.12260821,0.01170351,0.035535414,0.06317205,0.05555556
CALCRL,0.0008622921,0.0,0.002170767,0.0,0.021702839,0.33870953,0.035353534
USP37,0.35632765,0.026080724,0.018813318,0.023407022,0.03672788,0.026881717,0.025252525
SLC25A25-AS1,0.35368127,0.015951183,0.023493785,0.022366712,0.055402085,0.19087353,0.08585858
MSH6,0.4465846,0.22830845,0.27142572,0.26541275,0.31450573,0.5718303,0.4289909
DDX6,0.15296279,0.4916251,0.25890097,0.44690293,0.22719617,0.23403338,0.25295216
RPS19,0.10212043,0.2968287,0.19003542,0.42533657,0.09111118,0.12768814,0.12104115
SLAMF7,0.0011074197,0.045454565,0.3438741,0.026448471,0.003338898,0.0,0.1060606
HOXA-AS3,0.30711454,0.019765055,0.013748193,0.0039011703,0.14524214,0.23943013,0.025252525
FCER1G,0.0018727075,0.020640148,0.006512301,0.00780234,0.0,0.0,0.33333334
HSPA5,0.15657735,0.16321607,0.4665536,0.11495443,0.19799682,0.10081484,0.1818182
PDCD4-AS1,0.21318132,0.26359808,0.41947624,0.12223657,0.03672788,0.14516124,0.13638218
EIF2AK3,0.03534666,0.060048804,0.3740973,0.13398595,0.07345576,0.016129032,0.05555556
IGKJ1,0.008559431,0.006775832,0.33736372,0.0130039,0.003338898,0.002688172,0.045454547
KDM6B,0.052477967,0.16092579,0.13024586,0.14954488,0.41636026,0.26075262,0.08585858
RAD21-AS1,0.124860875,0.38135734,0.11432687,0.43853357,0.20033403,0.23655903,0.28787887
GATC,0.44587687,0.07406636,0.14556167,0.13226728,0.12186983,0.14882293,0.14646466
PTPRM,0.007359811,0.018068885,0.002170767,0.0,0.06343906,0.33870953,0.025252525
ADA2,0.006960501,0.03963864,0.17800249,0.03250976,0.006677796,0.01344086,0.3285865
HEXB,0.16426621,0.06075668,0.12619372,0.0780234,0.42570916,0.13440856,0.20202023
ZNF219,0.33256382,0.0050818743,0.0115774255,0.0039011703,0.013355591,0.01344086,0.005050505
ALPK1,0.02741276,0.08921511,0.39831653,0.1508452,0.08681134,0.10215051,0.08126518
S100A10,0.32587546,0.07425183,0.11139637,0.042322185,0.275906,0.3322579,0.14646463
HLA-DRB5,0.0082854545,0.037694998,0.02206947,0.17276123,0.00751252,0.032258064,0.3314355
TGFBI,0.009138952,0.004517222,0.000723589,0.0,0.025041739,0.0,0.3282829
RPS12,0.1063733,0.31924647,0.23268911,0.40945384,0.1142719,0.09340985,0.14959116
SSR1,0.36746264,0.36824754,0.34130332,0.4537114,0.17900193,0.11330419,0.2285353
ETS1,0.007515601,0.32003957,0.02387844,0.078739904,0.030050088,0.21774183,0.02020202
